image,label
Road03/ColorImage_road03/ColorImage/Record008/Camera 6/171206_030809175_Camera_6.jpg,Gray_Label/Label_road03/Label/Record008/Camera 6/171206_030809175_Camera_6_bin.png
Road02/ColorImage_road02/ColorImage/Record005/Camera 5/170927_064358993_Camera_5.jpg,Gray_Label/Label_road02/Label/Record005/Camera 5/170927_064358993_Camera_5_bin.png
Road02/ColorImage_road02/ColorImage/Record004/Camera 6/170927_064251853_Camera_6.jpg,Gray_Label/Label_road02/Label/Record004/Camera 6/170927_064251853_Camera_6_bin.png
Road04/ColorImage_road04/ColorImage/Record007/Camera 6/171206_055122824_Camera_6.jpg,Gray_Label/Label_road04/Label/Record007/Camera 6/171206_055122824_Camera_6_bin.png
Road02/ColorImage_road02/ColorImage/Record002/Camera 5/170927_064001232_Camera_5.jpg,Gray_Label/Label_road02/Label/Record002/Camera 5/170927_064001232_Camera_5_bin.png
Road03/ColorImage_road03/ColorImage/Record008/Camera 6/171206_030831083_Camera_6.jpg,Gray_Label/Label_road03/Label/Record008/Camera 6/171206_030831083_Camera_6_bin.png
Road03/ColorImage_road03/ColorImage/Record001/Camera 5/171206_025748831_Camera_5.jpg,Gray_Label/Label_road03/Label/Record001/Camera 5/171206_025748831_Camera_5_bin.png
Road02/ColorImage_road02/ColorImage/Record007/Camera 6/170927_064719117_Camera_6.jpg,Gray_Label/Label_road02/Label/Record007/Camera 6/170927_064719117_Camera_6_bin.png
Road04/ColorImage_road04/ColorImage/Record006/Camera 6/171206_054947451_Camera_6.jpg,Gray_Label/Label_road04/Label/Record006/Camera 6/171206_054947451_Camera_6_bin.png
Road04/ColorImage_road04/ColorImage/Record004/Camera 6/171206_054640189_Camera_6.jpg,Gray_Label/Label_road04/Label/Record004/Camera 6/171206_054640189_Camera_6_bin.png
Road02/ColorImage_road02/ColorImage/Record005/Camera 6/170927_064330926_Camera_6.jpg,Gray_Label/Label_road02/Label/Record005/Camera 6/170927_064330926_Camera_6_bin.png
Road02/ColorImage_road02/ColorImage/Record007/Camera 5/170927_064549405_Camera_5.jpg,Gray_Label/Label_road02/Label/Record007/Camera 5/170927_064549405_Camera_5_bin.png
Road04/ColorImage_road04/ColorImage/Record007/Camera 5/171206_055138022_Camera_5.jpg,Gray_Label/Label_road04/Label/Record007/Camera 5/171206_055138022_Camera_5_bin.png
Road03/ColorImage_road03/ColorImage/Record008/Camera 5/171206_030813506_Camera_5.jpg,Gray_Label/Label_road03/Label/Record008/Camera 5/171206_030813506_Camera_5_bin.png
Road04/ColorImage_road04/ColorImage/Record001/Camera 5/171206_054136615_Camera_5.jpg,Gray_Label/Label_road04/Label/Record001/Camera 5/171206_054136615_Camera_5_bin.png
Road03/ColorImage_road03/ColorImage/Record003/Camera 6/171206_030118207_Camera_6.jpg,Gray_Label/Label_road03/Label/Record003/Camera 6/171206_030118207_Camera_6_bin.png
Road04/ColorImage_road04/ColorImage/Record003/Camera 5/171206_054534017_Camera_5.jpg,Gray_Label/Label_road04/Label/Record003/Camera 5/171206_054534017_Camera_5_bin.png
Road03/ColorImage_road03/ColorImage/Record004/Camera 6/171206_030225846_Camera_6.jpg,Gray_Label/Label_road03/Label/Record004/Camera 6/171206_030225846_Camera_6_bin.png
Road04/ColorImage_road04/ColorImage/Record007/Camera 6/171206_055127656_Camera_6.jpg,Gray_Label/Label_road04/Label/Record007/Camera 6/171206_055127656_Camera_6_bin.png
Road02/ColorImage_road02/ColorImage/Record004/Camera 6/170927_064301612_Camera_6.jpg,Gray_Label/Label_road02/Label/Record004/Camera 6/170927_064301612_Camera_6_bin.png
Road03/ColorImage_road03/ColorImage/Record006/Camera 5/171206_030355299_Camera_5.jpg,Gray_Label/Label_road03/Label/Record006/Camera 5/171206_030355299_Camera_5_bin.png
Road04/ColorImage_road04/ColorImage/Record006/Camera 5/171206_054949749_Camera_5.jpg,Gray_Label/Label_road04/Label/Record006/Camera 5/171206_054949749_Camera_5_bin.png
Road04/ColorImage_road04/ColorImage/Record007/Camera 5/171206_055135272_Camera_5.jpg,Gray_Label/Label_road04/Label/Record007/Camera 5/171206_055135272_Camera_5_bin.png
Road04/ColorImage_road04/ColorImage/Record006/Camera 6/171206_054842333_Camera_6.jpg,Gray_Label/Label_road04/Label/Record006/Camera 6/171206_054842333_Camera_6_bin.png
